Gene	ZT2-Rep1	ZT6-Rep1	ZT10-Rep1	ZT14-Rep1	ZT18-Rep1	ZT22-Rep1	ZT2-Rep2	ZT6-Rep2	ZT10-Rep2	ZT14-Rep2	ZT18-Rep2	ZT22-Rep2	ZT2-Rep3	ZT6-Rep3	ZT10-Rep3	ZT14-Rep3	ZT18-Rep3	ZT22-Rep3
AT2G32790	0.453808	0.338037	0.183131	0.615442	0	0.473001	0.251312	0.509073	0.221996	0	0	0.200917	0.227839	0	0	0	0.369125	0.164031
AT3G05960	0.0964212	0	0	0	0	0.0661449	0.103762	0	0	0	0	0.0851866	0	0	0	0	0.0755401	0.134823
AT4G33945	12.9034	15.9254	18.3663	16.485	23.2563	20.5415	13.9179	15.6418	18.5284	17.5942	19.9883	21.8412	15.8745	13.5034	19.2384	19.1649	21.1659	20.4184
AT4G33940	11.029	15.8164	17.3	17.5505	24.6088	23.6481	15.015	15.6005	16.495	13.9781	25.8727	21.1993	16.1866	15.6682	14.4742	16.8672	26.0194	24.1876
AT4G21710	15.8087	16.3644	19.7006	17.0696	23.0292	23.1163	20.1089	16.7428	18.104	20.454	23.313	22.3936	19.6702	17.8753	19.6166	16.448	20.3726	23.4786
AT5G26700	1.25353	0.538254	0.874658	0.84437	0.736943	1.02594	1.29965	0.2726	0.531347	0.574413	0.865144	0.640059	0.354686	0.617693	0.438337	0.562918	0.582721	1.03432
AT5G55565	0	0	0	0	0	0	0	0	0.371477	0	0	0	0	0	0	0	0	0.263184
AT4G13040	16.9871	11.1267	13.9351	24.7708	20.1241	24.4788	24.3196	9.76497	11.2607	16.1502	24.8977	22.6629	23.0752	12.2633	11.5689	19.3032	21.1361	21.8256
AT3G52850	37.4033	44.7367	51.009	43.0348	49.0761	49.8238	39.3828	43.5314	46.9546	45.0114	50.0089	49.8024	44.7603	43.698	49.4616	42.4984	49.2684	50.4467
AT3G59800	12.5932	11.3272	11.9609	16.8642	14.53	16.6743	13.3206	10.965	10.5444	11.217	16.9067	15.0592	10.503	12.6708	12.189	16.3339	16.5336	16.6307
AT2G19680	55.5155	46.5177	57.5999	70.3949	59.1912	65.0999	49.1858	41.1758	45.7902	77.8982	65.445	55.8424	50.5046	43.7733	50.1127	72.7669	65.2726	57.3716
AT5G53010	2.41603	3.69333	4.18184	6.15514	4.8365	6.90194	4.54485	3.49581	4.53295	4.96184	5.45322	5.96089	4.28031	4.32858	4.67262	4.80088	4.90388	6.10576
AT1G78310	5.68289	4.9283	5.73795	6.65021	8.39053	6.74114	3.65346	5.81094	8.30749	4.76055	6.85255	7.92206	3.93859	6.34735	5.1678	5.62738	6.26342	8.39175
AT4G28590	10.5882	6.45249	9.82233	12.2722	9.6634	10.8096	10.2584	6.68158	11.7045	14.5122	9.16012	11.966	9.39822	4.2091	9.60088	11.718	9.82575	9.53141
AT5G22930	2.25622	5.90295	9.45212	7.71725	8.25609	5.50165	3.35558	8.28291	8.64182	10.003	7.09707	5.87483	3.56337	6.19215	9.00202	12.5434	5.71257	4.85091
AT2G38140	375.101	450.691	537.662	646.654	523.496	550.404	454.965	436.645	499.852	551.716	552.378	496.468	408.506	451.532	494.443	620.129	569.727	549.739
AT3G18640	11.32	8.29811	10.3115	13.0217	13.4344	12.7716	11.7701	10.9314	11.6614	15.1292	12.703	13.3293	10.3852	9.97321	11.5834	14.0621	12.3585	12.5161
AT3G14110	118.67	96.0396	110.637	129.277	126.594	137.266	115.206	103.456	109.322	126.224	128.919	132.942	109.5	94.7859	110.953	137.446	127.407	132.175
AT5G51670	10.6609	7.25708	5.25005	4.81296	6.5319	5.82612	7.70086	8.09069	5.68724	5.45039	6.97274	6.18121	9.80299	8.22086	5.36717	5.54988	7.43986	6.50198
AT5G11290	0.408067	0.743456	0.727516	0.602257	0.832327	0.271622	0.273113	0.450796	0.293607	0.4841	0.768102	0.444515	0.3008	0.506832	0.427375	0.475927	0.317424	0.359674
AT1G70670	11.0686	15.9934	17.9904	16.971	17.7924	15.5606	13.2471	17.7307	15.7466	14.9976	14.4761	16.3867	14.4381	14.9228	16.9528	14.9874	16.9351	13.5191
AT4G20390	30.0726	32.0485	35.8181	37.8562	44.8947	38.3768	26.4528	45.3433	32.1362	36.5786	50.5775	37.7982	42.4392	48.7872	42.1258	47.6584	51.9074	46.3791
AT2G36470	3.91255	2.77098	7.41085	10.3128	6.07667	6.05636	1.9139	3.15232	6.13144	6.61387	6.39694	7.44704	2.98661	2.99309	6.44539	9.32825	6.55962	5.81944
AT2G19860	17.4838	18.8507	22.8693	23.2633	18.3081	16.2652	19.7941	19.8115	25.1679	28.7078	17.4865	17.0184	20.9885	17.4971	27.2861	23.6097	22.1877	16.7161
