Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT4G12500	-0.40678644	-0.4220004	0	-0.2802291	-0.1907115	-0.072732925	0.71390295	-0.4035735	-0.086250305	-0.5402827	0.77998734	-0.17136717
AT1G22660	-0.27242947	-0.07809639	-0.16993237	-0.08120918	0.2579031	0.21663475	0.11159897	0	-0.57270336	-0.08525276	-0.5723009	-0.3027792
AT5G60970	-0.23233414	-0.23231792	0.008588791	-0.08911705	0.17159462	0.22073555	0	0.19446182	-0.138628	-0.046607018	0.027756691	-0.1637659
AT1G63350	0.076853275	-1.0825114	-0.31997013	-0.69866323	0.18856001	0.26072884	0.5843344	0.052782536	-1.4260659	-0.2295413	-0.58916426	-0.07078743
AT3G61200	-0.10007095	-0.15826511	-0.32713795	-0.1312542	-0.069363594	-0.016368866	0.11077309	0.22443867	0.21877766	-0.1929388	0.05568409	0.108187675
AT3G19300	-0.2881155	-0.24306631	-0.36141396	-0.08929634	0.13852882	0	-0.12189436	0.039963245	-0.32833624	0.28142023	-0.14506054	-0.013683319
AT3G26540	-0.44495535	-0.09042263	0.015758991	-0.63705254	0.43545675	0.540174	0.4526639	0.24694014	-0.7900572	-0.64843273	-0.68450403	-0.6531
AT1G03030	-0.3061552	-0.34834385	-0.35638618	-0.3786068	-0.20374012	-0.15026474	-0.2554865	-0.23047161	-0.18451214	0.16124153	0.052653313	0.2311964
AT3G14570	-0.5912256	-0.0668869	0.14099503	-0.14312696	0.12540913	0.016934395	-0.00464201	-0.039484024	-0.38353205	-0.17548704	-0.47003746	-0.21010637
AT4G21500	-0.9191332	0.31955433	-0.5493126	-0.4286909	-0.06707859	0.2765336	0.20691824	0.49999094	-0.18917847	-0.59721184	-0.6374526	-0.6218085
AT4G03415	-0.14338112	-0.1137476	-0.23424435	-0.2619877	0.3852129	0.2895794	0.048547745	-0.3515501	-0.35613155	0.001667023	-0.4347334	-0.37142372
AT1G15720	-0.13464355	-0.23441648	-0.09345722	-0.103131294	-0.100972176	-0.15783548	-0.161304	-0.1969366	0	-0.05722189	-0.18006182	-0.14107561
AT1G63810	-0.36089325	-0.12575436	-0.24688148	-0.3029518	0.10538292	0.11585522	0.21265697	0.10641384	-0.4932413	-0.4324751	-0.8100529	-0.7598543
AT3G50808	0.29884148	1.277914	0.048057556	1.4148378	-0.4291296	-1.062705	-0.10076809	0.37094402	-0.09063244	-0.31257248	0.5440998	0.3933525
AT2G45695	-0.017704964	-0.32287693	-0.06284714	-0.1618309	-0.12159538	-0.05111599	0.065338135	0.1929369	-0.047286034	0	0.100746155	0.24639702
AT4G30800	-0.28892612	-0.15541935	-0.024299622	0	0.03131771	0.1545496	0.13267136	0.43822956	-0.18962288	-0.48338032	-0.21757603	-0.047995567
AT4G11550	1.1797833	-0.56489325	-0.42188072	-0.3853283	-0.24127579	-0.09946489	-0.023877144	0.22445774	0.14041662	-0.21197987	-0.20664454	-0.0959301
AT2G25580	-0.4404335	-0.44677925	-0.41019678	0.24627781	0.13489532	0.12671661	0.072426796	-0.038344383	-0.9657502	-0.5266738	-0.35563517	-0.5339222
AT3G49340	-0.50149775	-1.7413263	0.07622242	-0.6100321	1.0470829	1.0781693	0.6002269	1.7241817	-1.3570032	-0.40918446	-0.6175475	-0.95083284
AT5G57050	-0.29046822	-0.2206583	0.17136765	0.29779148	-0.537941	-0.35310364	-0.18273258	-0.21731186	0.22351265	0.045528412	0.3448534	0.14561272
AT2G05920	-0.103720665	-0.10447693	-0.25055313	-0.3256092	0.29080963	0.09600639	0.001831055	0.05504322	-0.46644783	0.072704315	-0.25116348	-0.23721027
AT4G22720	-0.2532797	-0.42722225	-0.25851822	-0.21728516	0.025568962	0.0669775	0.15338516	0.20790863	-0.105340004	-0.374856	-0.21922112	-0.19011879
AT2G17580	-0.0734272	-0.18497372	-0.06635189	0.009794235	0.11710739	0.0554142	0.27740002	0.34668827	0.07611179	-0.076667786	-0.10083389	0.09100437
AT1G73965	0.48681068	-0.18017101	-0.054958344	0.1644125	0.028966904	0.2322731	0.6423969	0.9400735	-0.15805912	-0.5117502	3.0412154	-0.39107323
AT3G21190	-0.35702515	-0.35297775	0.096551895	-0.09603214	-0.018897057	-0.035363197	0.0866251	0.37780857	-0.11102104	-0.19747925	0	0.07025528
AT2G47580	-0.17323399	-0.049923897	-0.035284042	-0.14826965	0.22175884	0.21248531	0.24145508	-0.3155222	-0.23969269	-0.13948345	-0.19851208	-0.00710392
AT1G80760	0	-0.35196877	-0.61550665	-0.55264807	0.30704308	0.27986717	0.12755871	0.18401146	-0.6187382	-0.35709572	-0.5568528	-0.97125626
AT4G02820	-0.10714054	-0.10881233	-0.079538345	-0.017495155	0.18928337	-0.004143715	0.1012516	0.5089884	0.048789978	-0.45434666	-0.18980789	-0.1871376
AT3G03773	-0.19768047	-0.28562546	-0.4210105	-0.3084569	-0.039985657	0	-0.2828102	0.012489319	0.006569862	-0.091729164	-0.2766633	-0.103443146
AT1G01040	-0.08787441	-0.1402092	-0.5903721	-0.42691708	0.003421783	0.079524994	-0.13072872	0.021429062	-0.15858364	-0.06523609	-0.10132027	-0.25425148
AT1G35510	-0.29615116	-0.21013737	-0.29185104	-0.3314867	0.19309425	0.18550873	-0.04953289	0.3026886	-0.3928709	-0.14545918	-0.2765808	-0.14502048
AT1G61500	0	-0.17562485	-0.35357904	-0.04839182	0.1840353	0.28849316	0.21550846	0.1968708	-0.06810856	-0.13426971	-0.23519802	-0.40886402
AT1G68110	-0.36755705	-0.4302745	-0.25817537	-0.32938242	0.73626566	0.3664956	0.1639657	0.002546787	-0.40883732	-0.49092484	-0.34676123	-0.53953123
AT1G04840	-0.23398304	-0.2880125	0.18196583	-0.018614292	0.2869978	0.50258875	0.51048994	0.22367907	-0.6172066	-0.17053747	0	-0.11829758
AT4G17950	-0.13163757	0	-0.0584898	-0.107234	0.5573673	0.30933094	0.3877201	0.60101986	-0.004815102	-0.12796688	-0.05837536	-0.092591286
AT3G01322	0.2503004	1.1914263	-0.045565605	1.3357811	-0.094576836	-1.2610655	-0.19116592	0.2756052	-0.16644669	-0.40774536	0.4551983	0.30702305
AT5G52290	-0.012174606	-0.07811594	1.1128988	0.06637287	-0.1598301	-0.29263258	0.17081594	0.30863667	-0.03400135	-1.6231112	0.055917263	0.23811579
AT2G35810	-0.48584366	-0.5623274	-0.5058632	-0.21127701	-0.38967705	-0.37394333	-0.3037691	-0.010579109	0.37248802	0.27676487	0.4333229	0.6232662
AT5G52870	-0.56492424	-0.45927048	0	0.052114487	-0.24520493	-0.014699936	0.51943684	1.3201857	0.1526823	-0.4689169	0.13715076	0.049440384
AT2G24590	-0.21235466	-0.17358589	-0.22739887	0.018151283	0.10729599	-0.05204296	0.17222786	0.14306164	-0.8611736	-0.22442913	-0.58430195	-0.1769247
AT2G35330	-0.36401558	-0.26312733	0.05761242	-0.15150642	0.09187317	-0.003069878	0.08081913	0.044369698	-0.11664581	-0.27807426	-0.21184254	-0.14946842
AT4G29210	-0.05454731	-0.4489832	-0.5599251	-0.30116272	0.06778622	0.16583443	0.17807674	0.11730003	0.21436882	-0.10398483	-0.16314411	-0.13531876
AT1G71850	-0.14890099	0.16285133	0.056123734	-0.105802536	0.41942596	0.37229347	0.30078506	0.02359581	-0.2818737	-0.22645855	-0.1841631	-0.42330647
AT3G12680	-0.1327486	-0.06718922	-0.35777092	-0.4024601	0.41323853	0.34626293	0.03765297	0.029636383	-0.32676983	-0.041187286	-0.35138702	-0.24441624
AT4G38700	-0.14175797	-0.2542734	-0.06176853	-0.11150074	0.5312109	0.45489597	0.61078167	0.74640846	0.08998871	0	0.25545883	0.09924507
AT1G14660	0.11688328	-0.052892685	-0.08546305	-0.070994854	0	-0.055243492	-0.09700298	0.030993462	-0.24643087	0.034638405	-0.13204241	-0.008662224
AT4G22580	-0.22967815	-0.3958187	-0.12560844	-0.02030754	-0.027104378	0.11116886	0.09758377	0.24656963	0.25082397	-0.24417114	0.17081642	-0.07582092
AT2G40630	0.01345253	-0.2183485	-0.23554802	-0.253829	0.059000015	0.21428394	0.12365341	0.14035416	0.12391472	-0.37538815	-0.060159683	-0.16928196
AT1G73770	0	-0.24437141	0.22829151	-0.003806114	-0.09104061	0.006077766	0.13243389	0.51899433	0.07143593	-0.31328964	-0.013116837	0.22902012
AT1G13160	0	-0.05445385	-0.011974335	-0.15757465	-0.031085968	-0.040842056	0.10791302	0.2293787	0.08086491	-0.19908428	-0.052916527	-0.1331892
AT5G24840	-0.00813961	0.050014496	0	-0.20061684	-0.074611664	-0.013143539	-0.052775383	0.1606369	0.13208961	-0.029236794	-0.1560049	-0.19120216
AT4G04450	-0.8173642	2.3196688	-0.5392785	-0.5562129	0.44750357	0.63579035	0.64272356	0.82591915	-0.46953392	-0.6199727	0	-0.9898181
AT2G38310	-0.3453102	-0.58494663	-0.66327	-0.4925642	-0.418128	-0.40798283	-0.11945057	0.30982304	-0.18795013	0	0.509182	0.44761848
AT1G67720	-0.14243603	-0.08213997	-0.058997154	-0.13804817	0.11327839	-0.07918739	0.1765976	0.055365562	0.20138359	-0.10430622	0.19486904	0.002018929
AT5G25020	-0.7887759	-0.72384787	-0.12247801	-0.3525114	-1.3157854	-0.8900256	-0.90920067	1.5935569	0.09616661	0.29671812	1.044354	0.31700087
AT5G59030	0.038305283	-0.25914383	-0.49376297	-0.24674988	0.27489948	0.15735245	0.021692276	0.02292347	-0.8749933	-0.34676838	-0.6746187	-0.34634113
AT5G50440	-0.07817936	-0.23977804	-0.17789221	-0.106628895	0.015748024	0.048258305	0.050994873	0.06577206	0.3855567	-0.023889065	0.070568085	0.13740253
AT4G25320	0.089876175	0.036236763	-0.091677666	-0.31588697	0.12966537	0.046330452	-0.22481346	-0.051056862	-0.19087982	0.16166592	-0.3555584	-0.38876915
AT5G65420	-0.46006966	-0.2508974	0.19412613	-0.06057501	0.31939507	0.14154816	0.4056921	0.6340351	-0.022407532	-0.2968669	-0.10455322	-0.15534544
AT5G09460	0	-0.04573345	0.059327126	0.13305044	0.66414785	0.3326087	0.7633176	0.17655993	-0.55099726	0.003628254	0.070177555	-0.29497528
AT1G30490	-0.1889267	-0.02660656	-0.17686558	-0.42828846	0.07494736	-0.1126709	-0.23952007	-0.10542679	0.20667744	0.22773266	0.4887867	0.34291935
AT1G48390	-0.6618109	0.27663136	-0.5161171	0.6323085	0.106809616	0.2550745	-0.2337923	-0.56626034	-0.9707794	-0.8658905	-0.27810764	-0.52763176
AT4G31670	-0.102602005	-0.37028027	-0.10155296	-0.3079567	0.073405266	0.07303524	0.29289627	-0.002137184	-0.07972145	-0.15400696	-0.20527458	0.30835247
AT3G04310	-0.17609501	-0.032517433	-0.09734249	-0.07442665	0.18527222	0.07203388	-0.07590294	0	0.15096569	-0.19483662	-0.33681774	-0.34281826
AT3G18910	-0.24499702	-0.16013718	0.048765182	-0.29082108	-0.018232346	0.039068222	0	0.26094723	-0.3711958	-0.37644196	-0.27171135	-0.26761627
AT1G73830	-0.38202095	-0.5643892	-0.39241886	-0.7557974	0.08685303	0.5299101	0.4368744	1.2411957	1.1254492	1.3970451	1.4702826	1.3092957
AT1G16090	0.01173687	-0.0895319	-0.6290045	-0.56739855	-0.96969795	-0.92943907	-0.7474799	0.07685232	0.50853825	0.01896143	0.03320217	0.14246511
AT4G31930	-0.22722912	-0.35457277	-0.2195077	-0.059749603	-0.13013554	-0.17204762	-0.15341091	0.13741875	-0.008283615	-0.29918528	-0.047835827	0.002173901
AT5G19280	-0.10640335	-0.21896839	0	-0.045204163	0.046229362	0.007697105	0.20109272	0.10531044	-0.10661411	-0.196908	0.13005066	-0.23905563
AT3G54080	-0.36615276	-0.2127142	-0.26735497	-0.221488	0.088490486	0.04359913	-0.019692421	0.059619904	-0.1538248	0	-0.2985201	-0.22097492
AT2G47620	-0.2293663	-0.15955257	0	-0.10591698	0.23121357	0.24208546	0.3149805	-0.06086254	-0.09670162	-0.30457878	-0.11647415	-0.107756615
AT2G04660	-0.103447914	-0.24962616	-0.006065369	-0.22539616	0.056524277	0.055030823	0.26041222	0.28057003	-0.048179626	-0.17031193	0.13142967	-0.096084595
AT1G19830	-0.9203291	3.0969276	-1.2273064	0.16353607	0.19165516	0.18600655	-0.10434532	-0.90927124	-0.3960247	1.0657263	-0.5370741	-0.8049984
AT5G12235	0	-0.3062477	0.1312151	-0.08336735	-0.19475126	-0.40584993	-0.472898	0.24027109	0.1573	0.2739458	-0.0721035	0.11203289
AT4G18593	-0.22799778	-0.25003433	-0.17766666	-0.21509647	0.007050514	0.138093	0.113287926	0.38539124	-0.11513138	-0.23545837	-0.16219044	-0.16221046
AT4G00390	-0.5258794	-0.5524163	0.036762238	-0.6037893	-0.73051023	-0.2451334	0.049215317	-0.5242162	0.21303415	-0.27844954	-0.17499876	0.6077223
AT4G16470	-0.26598406	-0.15056181	-0.040113926	-0.16685772	0.14343643	0.2951107	0.05140686	0.00858593	-0.28417397	-0.04649353	0.015013218	0.012385845
AT4G02320	-0.55604315	-0.48186398	0.09018898	-0.61647224	0.48209238	-0.16748762	0.18218803	-0.05489683	-0.18978405	1.2205238	0.28674316	0.11082077
AT1G09410	-0.27227926	-0.011461735	-0.1302309	-0.41090584	0.14736176	0.41214466	0.4213047	0.43110847	-0.38993025	-0.5377865	-0.5783415	-0.5561142
AT5G66290	-0.09412193	-0.18058777	-0.3355856	-0.19816685	0.25104618	0.062618256	-0.009206772	-0.035119057	-0.18352318	-0.041082382	-0.3171568	-0.08326721
AT5G13470	-0.19986057	-0.07363701	-0.14771175	-0.09695625	-0.010360718	0.030369759	0.004971504	0.061872482	0.14649391	-0.19530392	0.010982513	0
AT1G20910	-0.17921543	-0.16170692	-0.35979462	0.1981659	0.2617798	0.33591557	0	-0.12792397	-0.51563835	-0.29793835	-0.4282856	-0.5891657
AT3G10770	-0.057073593	-0.00617981	-0.09833336	-0.13928795	0.19975758	0.28787327	-0.02133751	0	-0.019242287	-0.045545578	-0.19304276	-0.2891693
AT2G16570	-0.91641855	0.33172894	-0.11243057	0.75355625	0.29153252	0.24662495	0.405046	0.36730528	-0.5389366	-0.6160121	-0.7693062	-0.5550113
AT2G31410	-0.32153034	-0.1497078	0.069169044	0.094314575	-0.017875671	0.13479042	0	0.19619179	-0.15075111	-0.4621029	-0.16415024	-0.17228985
AT1G17210	-0.120604515	0	-0.13667965	-0.36750984	0.2425251	0.21208763	0.0708828	-0.032066345	-0.05401516	-0.10971928	-0.28840542	-0.33615398
AT5G03170	-0.2527485	-0.21761799	-0.16669464	-0.15139198	0.31170273	0.015731812	0.024404526	0.3748474	0	-0.019992828	0.12258911	0.15518188
AT5G65950	-0.22000694	-0.2242775	-0.16370296	-0.23792839	0.16508389	0.099214554	0.25274944	-0.016570091	0.13935757	-0.3185835	-0.07382488	-0.2791729
AT1G74360	-0.5247216	-0.59236526	-0.8350358	-0.21434069	-0.16621876	0.049849033	0.6406517	0.647202	0.28918457	-0.21035528	-0.32793474	-0.113945484
AT2G16870	-0.48035622	-0.36786795	-0.4843974	0.33055496	-0.7332282	-0.7321305	-0.42815924	-0.09569359	0.33362532	0.33614254	0.3967452	0.38683844
AT1G16500	-0.30427742	-0.16228294	-0.2683611	0.052775383	-0.8455601	-0.928174	-0.936285	-0.58965874	-0.37150002	-0.7148161	-0.41164112	0.14828014
AT5G03700	-0.23876047	-0.41198683	-0.24980211	-0.20249844	-0.16000748	-0.15227127	-0.07709694	0.4175787	-0.075826645	-0.5519395	-0.09044027	-0.14008093
AT5G11340	-0.24355793	-0.15817451	-0.057897568	-0.070625305	0.26387596	0.2452116	0.12659359	0.25660515	-0.16031265	-0.4837265	-0.21452045	-0.19044876
AT2G01140	-0.16947556	0.003396988	-0.29524708	-0.27725792	0.1763916	0.22438145	-0.058793068	-0.016411781	-0.0345459	-0.08777809	-0.03834343	-0.294199
AT3G62970	-0.20668888	-0.17395687	-0.22449303	-0.28376484	0	0.35018635	0.09421158	0.14798069	-0.235775	-0.24018955	-0.18557167	-0.14583397
AT4G24400	-0.23342133	-0.30145073	-0.28208828	-0.3084345	-0.017518997	-0.053173065	-0.020076752	-0.03334999	0.09934044	-0.078110695	0	0.078502655
AT1G09157	-0.70687056	-0.33866596	-0.10245848	0.13733578	0.3399458	-0.07419109	0	-0.75922537	-0.889462	-1.435555	-0.94924307	-0.08005762
AT1G31910	-0.25887108	-0.24678707	-0.2202158	-0.31955528	0.047341347	0.13498402	0.016272545	0.8008852	0.005530357	-0.47287464	-0.053055763	-0.38529873
AT1G45231	-0.3083744	-0.2142067	-0.15802383	-0.4101534	0.06488609	0.10819435	0.17890549	0.073859215	-0.3085537	-0.18972301	-0.4283142	-0.30330467
AT2G36840	-0.40166664	-0.36406422	0.004618645	-0.17207527	-0.17063904	-0.19647503	-0.30653286	-0.024655342	-0.012153626	-0.1440649	0.2633314	0.3198843
AT4G38000	-0.32376766	-0.8918004	0.41447592	-0.18772745	-0.1940918	0.27700758	0.5252962	1.1547561	-0.09961271	0.038735867	0.46829224	0.55077696
AT5G02470	-0.23367262	-0.22250462	-0.35490465	-0.32897854	0.044456482	0.017876625	0.08821583	0.16361237	-0.09552097	0.08337498	-0.2811303	-0.30754042
AT5G39800	0.008550167	-0.21545696	-0.27341032	-0.2975893	0.10097599	0.19324064	-0.038034916	0.3181057	-0.34749794	0.5205684	-0.5317893	0.18984985
AT1G48950	-0.34330273	-0.1379242	-0.14225292	-0.20657921	-0.092754364	-0.04105854	0.03895569	0.025488853	-0.04354477	-0.28116703	0.034321785	-0.19201851
AT2G31530	-0.16441727	-0.12055588	-0.09672737	-0.19928932	0.23017025	0.20842552	0.09146881	0.12965584	-0.32155037	-0.14803028	-0.35660458	-0.25268364
AT3G10470	-1.1153107	-0.50692606	-0.47509384	0.055045128	-0.16677761	0.396317	2.906661	-0.278615	-1.4550953	0.46954536	-0.27763367	0.5798507
AT5G60230	-0.2524147	-0.27447033	-0.25777912	-0.13454342	0.028307915	0.1975069	-0.022961617	0.23170471	0.08990097	-0.088912964	0.11307049	0
AT2G01630	-0.043535233	0.012907028	0.021175385	-0.3566475	0.1851387	0.027479172	0.11585808	0	0.25024128	0.027558327	0.4360237	0.0346241
AT1G78110	-0.4188881	-0.26878262	0.0338974	-0.03629589	0.026920319	-0.05053234	0.17804527	0.07269478	0	0.18391132	0.091407776	0.4075508
AT4G29360	-0.20617867	0.059687614	-0.021559715	-0.43844795	0.48327446	0.42523098	0.15727806	-0.16243935	-0.52987003	-0.3848095	-0.6585007	-0.6431389
AT5G05480	-0.030398846	-0.37193108	-0.3803196	0.1084671	0.32653856	0.045493603	-0.15692043	0.006816864	0	-0.089337826	-0.17876816	-0.38275003
AT4G39800	0.20923328	0.14644337	-0.15684223	-0.27957726	0.3323717	0.47629547	-0.31505394	-0.6153002	-0.040828705	0.63314724	-0.1429882	-0.22654343
AT2G26400	-1.8822274	-1.0887494	-2.3150163	-0.75261927	-0.74332714	2.5850096	4.8425117	3.2478533	-0.38901043	0.37530613	-0.27198362	-1.8648334
AT5G28060	-0.47204876	-0.14840603	-0.020659447	-0.27525234	0.30870628	0.2457676	0.14425659	0	-0.38228035	-0.5241766	-0.5506115	-0.4213066
AT4G36020	-0.23699665	-0.2198906	0.006031036	0.006145477	0.078341484	0.07466984	0.43305016	0.22380257	-0.48192692	-0.51786137	-0.35023022	-0.33450603
AT4G05460	-0.24707127	-0.08599949	-0.091459274	-0.0259552	-0.034662247	0	-0.007497788	0.2202673	-0.30162525	-0.12818146	-0.04917431	0.1816063
AT4G15520	-0.41649246	-0.23890686	-0.3066635	-0.16044617	-0.10997486	-0.06847763	-0.22063923	0.02303791	0	-0.28270817	-0.19636631	-0.051013947
AT4G29035	0.27194977	1.3263302	0.03624344	1.4800467	-0.37627888	-1.3015366	-0.11616802	0.3383627	-0.008025169	-0.28723145	0.7028837	0.36881447
AT2G35820	-0.16044521	-0.12588215	-0.23603725	-0.008944511	-0.057970047	0.14670277	-0.06704998	0.007273674	-0.03162861	0.0423975	0.19760227	0.26389217
AT3G02680	-0.14650583	-0.20886278	-0.049913883	-0.008978844	0.22782326	0.25882816	0.20045853	0.16256523	0.093334675	-0.08859491	-0.10196352	-0.53265905
AT5G05180	-0.7596636	-0.3073225	0	-0.061810493	0.009349823	0.001199722	0.059547424	0.09160614	-0.02563095	0.10057068	0.43047428	0.46509552
AT3G05290	-0.20546246	-0.3725357	-0.1814661	-0.22577667	-0.09447479	-0.17067432	0.1674242	0.15907574	0.02628994	-0.30434132	0.072449684	0.07427788
AT5G18130	0.3766184	-0.0722332	-0.17652607	0.08467293	0.036707878	-0.05258274	0	-0.19413185	0.7454729	0.3536377	0.4579754	0.18002605
AT1G09050	-0.3426776	-0.16546488	0.06300211	-0.4247489	0.36434126	0.5165634	0.48946428	-0.11640406	-0.35173702	0.19104052	-1.0841093	-0.57888603
AT4G20870	-0.24581051	0.05223465	-0.33761024	-0.42986107	0.6716852	0.47408962	0.22591305	0.2777853	-0.48318672	-0.24073696	-0.45522118	-0.3639183
AT4G20090	-0.24850082	0.12807178	-0.25442505	-0.30177736	0.40620804	0.51248264	0.4860239	0.18631983	-0.75798655	-0.4015541	-0.6374941	-0.4137931
AT1G79190	-0.48411942	-0.217412	-0.25555038	-0.00673008	-0.055747032	0.001434326	0.12480831	0.046972275	-0.36906242	-0.2480526	-0.24151325	-0.20063496
AT3G55730	-0.062033176	-0.2453742	-0.020526886	-0.38204813	0.14291286	0.014903069	-0.19670773	-0.02377987	-0.3537941	-0.12139845	-0.28390932	-0.23479891
AT4G24790	-0.047004223	-0.14292097	-0.08993006	-0.5185981	0.50816774	0.22857428	0	0.012007237	-0.76418734	-0.8719549	-0.9406066	-1.2899222
AT1G45688	-0.29023266	-0.2659626	-0.058354378	-0.17890263	-0.2470913	-0.062161446	-0.10713577	0.26268768	0.40550518	0.20677185	0.3598709	0.54562473
AT3G04560	-0.22067738	-0.14392853	-0.47476292	-0.18040371	0.13101196	0.03871727	0	0.050103188	-0.18004608	-0.24826717	-0.385561	-0.4649496
AT2G42960	0.012775421	0.19580412	0.035855293	-0.6491046	0.3235712	0.39434385	0.171484	-1.175787	-0.84736156	0.06270313	-0.4292326	-0.5875516
AT1G07510	-0.24930668	-0.13970661	-0.3752365	-0.38015175	0.3504448	0.16564941	0.001719475	-0.31249428	0.057744026	-0.14927769	-0.43570423	-0.7114067
AT3G60800	-0.25106525	-0.3516283	-0.31656694	-0.29660606	-0.14530373	-0.029687881	-0.075369835	0.12314224	-0.1792574	-0.12310982	-0.3878622	-0.029083252
AT2G27480	-0.2826395	-0.20905876	-0.4035244	-0.11800289	0.058009148	0.19044304	0.065815926	0.09777069	-0.09181881	-0.20081043	-0.29442215	-0.19099712
AT3G14060	-0.97653866	0	0.5044222	0.20668316	-0.57316303	-0.23224258	-0.30162477	0.09331846	-0.31440544	-1.5223436	-0.5084982	-0.49359417
AT2G40480	-0.34729195	-0.04907894	0.1192255	-0.13062572	0.21851635	0.011649132	0.061310768	0.2838421	-0.21611881	-0.16095924	-0.15873909	-0.16874313
AT1G05120	-0.045356274	-0.0777545	-0.43536472	-0.26757288	0.032385826	0.14193821	0.18357468	-0.2242608	-0.033041	0.045220375	-0.41156816	-0.21237469
AT2G31725	-0.08061409	0.031954765	0.09302616	-0.002093315	-0.055490494	-0.06586361	0.018300056	-0.49519682	-0.11301184	0.022185326	0.14386225	0.07891178
AT2G33655	0.76870155	0.019762516	-0.70001554	-0.14332199	0.500576	0.8083987	-0.8375926	0.24009895	-0.61211157	-1.3505216	-0.5373883	-0.8736701
AT3G14920	-0.31976986	-0.32172012	-0.24997997	-0.26206493	0.080994606	0.13541985	0.12755299	0.41282463	-0.26965523	-0.36017132	-0.24883842	-0.2110281
AT5G52450	0.007388115	-0.23493004	-0.19018936	-0.21659946	0	0.120661736	0.25738907	0.3587017	0.14007568	-0.04453087	-0.023823738	-0.123083115
AT5G11010	-0.17013359	-0.17970085	-0.060302734	-0.02158928	0	0.050430298	0.08301449	0.18491173	-0.32551384	-0.15516567	-0.17429924	-0.11038017
AT5G23580	-0.37859344	-0.23104668	-0.39709663	-0.26415348	0.02232933	-0.03946781	0.047029495	0.121004105	-0.033809662	-0.19703102	-0.25547123	-0.31300545
AT3G22980	-0.054327965	0.001233101	-0.30942822	-0.26989555	0.21895885	0.21697712	0	-0.10984707	-0.1937151	-0.046940804	-0.34337807	-0.6526127
AT5G37290	-0.32802868	-0.2897997	-0.18083286	-0.22325039	0.003448486	0.2159481	0.08761883	0.12793541	-0.10820103	-0.23192024	-0.045993805	-0.19385529
AT3G06190	-0.11141968	0	-0.3647766	-0.30172157	0.17008686	0.16833687	-0.16721821	-0.31755733	-0.5339041	-0.113892555	-0.37404633	-0.47404194
AT1G78670	0.1902008	-0.14716816	-0.26900387	-0.21951103	0.24380016	0.13646126	-0.05575943	0.21367073	0	0.005160332	-0.21070766	-0.14637184
AT5G07130	-0.149477	-0.43695164	-0.30721378	0	-0.38477325	-0.19185543	-0.2621746	0.21518135	0.45135593	0.35753632	0.2528906	0.27602482
AT5G02100	-0.16826534	-0.000316	-0.4022417	-0.43449116	-0.108971596	-0.013912201	0	0.07321167	-0.21142387	-0.07551193	-0.30714178	-0.5392146
AT4G32320	0.02355194	-0.039714813	-0.118597984	-0.14167595	0.24503803	0.2746973	0.008522034	-2.0415983	0	-0.17077446	-0.0891552	-0.20872879
AT1G23330	-0.08908653	-0.18314934	-0.32313538	-0.46277714	0.17171383	0.19059181	0.05148506	0.19463539	-0.48404312	-0.07905102	-0.45592022	-0.5021324
AT1G68880	-0.06835461	0.6194773	-0.62607193	0.7545605	5.1992455	-0.59617805	0.24619484	-0.058304787	-0.65420246	-0.7704172	-0.11874676	-0.097641945
AT5G51810	-0.75239277	0.29660845	-1.0217485	0.4808774	0.76648426	0.9144993	0.4475484	-0.44436455	-1.0691776	-1.1991997	-0.3580103	-0.5997362
AT3G58000	-0.2085886	-0.16249084	-0.13616753	-0.12541008	-0.05556488	-0.046787262	-0.23215961	0.37291336	0.007614136	0.3130827	0.2853098	0.64341736
AT5G35753	-0.22202015	-0.23468399	-0.25225258	-0.23711681	0.08770847	0.07001495	0.043050766	0.22819138	-0.034747124	-0.22623158	-0.16242409	-0.18669224
AT1G28010	-0.77378416	-0.69885063	-0.5049143	-0.9584565	0.07692051	0.30019522	0.33904362	0.45763636	-1.1961889	-1.2593336	-0.7740011	0.06225109
AT4G38100	0.06667423	0.054546356	-0.14491749	-0.23818588	-0.29896545	0.12721825	-0.18902493	-0.042752266	0.09357548	-0.076169014	-0.1991682	-0.1184206
AT3G62890	-0.29748964	-0.36187696	0	-0.07852411	-0.003270626	0.037058353	0.07303095	0.17230654	-0.20887709	-0.32178593	-0.30286026	-0.33788157
AT1G22040	-0.014318466	-0.17638397	-0.16203022	-0.35059452	0.15444851	0.09714508	-0.08604145	-0.13430786	-0.15886116	0.06371403	-0.29037952	-0.2337265
AT5G01840	-0.014627934	-0.26105595	-0.40149164	-0.5591035	0.71449757	0.5864029	0.43293715	0.40204144	-0.52106047	-0.58533955	-0.8382869	-0.66515255
AT5G54850	-0.4663105	-0.20740032	-0.48402977	-0.3299818	0	-0.12208557	0.13338661	0.4105816	0.16250992	-0.048545837	-0.023386955	0.036499977
AT3G07370	-0.12961578	-0.23638344	-0.060598373	-0.024798393	-0.16706371	-0.025644302	0.2591772	0.6058388	-0.3760767	-0.20205498	-0.2531004	-0.24163246
AT1G62110	-0.2481699	-0.08220863	0	-0.12078476	0.004263878	0.1909256	0.39406013	-0.70308685	-0.25184822	-0.30844307	0.14315891	-0.25247097
