Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT3G56980	-5.1432924	-3.4306078	-4.5146074	-3.480349	0.11121178	0.73281384	0	0.22830296	-5.8337975	-5.0695024	-6.7222743	-6.2103376
AT1G73260	-4.918411	-4.0026603	-5.226071	-3.7858381	0.26004267	0.13902235	0.78075266	0.009793282	-5.270886	-5.3972507	-4.493677	-4.659802
AT5G37550	-2.2686505	-3.633164	-2.6675706	-3.4166746	1.7595	1.5512681	1.7426152	1.6977916	-1.6948771	-2.0897026	-1.0932441	-1.741786
AT5G59220	-2.5894566	-2.8127122	-2.9662752	-2.8834772	0.57465553	0.0829649	0.31350136	-1.145721	-0.45505285	0.003381729	-0.65586615	-0.57723093
AT5G12110	-3.8361492	-3.663455	-3.7789116	-3.8201237	0.50334644	0.63389015	0.42765522	0	-3.8274078	-3.409769	-3.5766983	-3.216485
AT4G27670	-3.50704	-2.445549	-2.775782	0.0724988	0	-0.55848455	0.22110319	0.006946087	-3.766364	-4.081891	-2.3659387	-3.4456463
AT1G74310	-1.1653414	-1.1059666	-1.2218418	-1.2749338	0.46703148	0.263072	-0.07897091	-1.3068733	-0.88578224	-0.8595581	-0.7584753	-0.1647625
AT1G14120	-5.5491505	-4.969679	-4.015747	-4.5955944	0.7776203	0.15343857	0.026218414	0.64810276	-5.085666	-5.350915	-5.5153418	-4.115691
AT3G48830	-3.2277122	-2.2954612	-3.500421	-2.055368	1.2784376	1.1217141	1.332212	0	-3.5243611	-3.6493535	-2.8943467	-2.9776063
AT2G29500	-1.6704693	-1.8126802	-1.7172575	-1.6320982	0.5416155	0	0.52715015	0.72254944	-1.8601418	-1.8544903	-1.6774511	-1.7626219
AT1G30220	-2.998815	-3.4091077	-3.6317282	-3.2157545	0.35787868	0.22113228	1.1943283	0	-2.3937583	-2.853413	-1.7886572	-2.1507292
AT5G07330	-1.1650848	-0.41273308	-1.6274061	-0.24509335	0.29110956	0.35772228	0	0.32945728	-0.8068714	-1.2603884	-1.0946131	-1.3409243
AT5G57785	-3.8617344	-5.3749895	-3.7469316	-3.8563738	0.624135	0.63044167	0.5821972	0.8590574	-3.0604734	-3.8201642	-3.2845197	-3.0005693
AT2G20560	-1.2569141	-1.451455115	-1.78094385	-1.63605525	1.17636585	1.1639552	0.60759543	0	-1.38972115	-1.05102135	-1.441077	-1.0394769
AT5G04370	-1.6768465	-1.8256345	-2.418301	-1.6562724	0.041662693	0.31536293	0.6015806	0.87163544	-0.9630928	-0.7263799	-1.0312214	-1.2445521
AT5G01380	-3.8527021	-3.2011862	-4.621523	-3.1134772	2.0122347	1.6726141	2.366559	1.9784622	-3.053813	-4.0035744	-3.9915867	0.35325813
AT3G56970	-4.1060677	-3.1889758	-4.564284	-3.3505259	0	0.74238205	0.041787148	0.4938612	-4.6658483	-4.412574	-5.9366207	-5.703467
AT4G08040	-2.5540643	-3.6581535	-2.5661168	-2.6900926	2.0851698	1.802043	2.5087986	2.6274872	-1.18926	-0.6998935	-0.02643156	0.56100416
AT1G28370	-1.1863623	-3.303309	-2.7223167	-1.8261061	1.8672752	1.442627	2.4461117	1.4804487	-0.9213934	-1.6055326	1.2410965	0.07050514
AT5G40790	-2.5099626	-1.5700941	-2.8073764	-1.401732	1.1365199	0.32471943	1.4574337	-0.47663355	-0.8632827	-0.8409805	-1.3987374	3.3118615
AT3G21890	-2.5210905	-3.9757748	-2.924708	-3.830339	0.14462328	0.17560768	0	0.077065945	-2.355291	-2.7332973	-2.3769088	-2.8291116
AT5G59720	-4.485777	-3.7635107	-4.1973615	-4.3437304	0.4784994	0.1387682	0.33782768	0.44422436	-4.0995307	-4.4420934	-4.728284	-4.489649
AT1G80840	-0.99869395	-3.3994341	-2.48178815	-1.89406395	2.973289	2.4548407	2.9899883	1.21267415	-1.1423216	-1.95699455	1.0987878	-0.42732906
AT5G63450	-3.3807197	-3.1636224	-5.1010303	-4.432477	0	-0.1410799	0.91049004	0.81851673	-5.2568707	-5.3009763	-0.91657925	1.16253
AT3G28740	-3.383594	-4.294284	-4.3769913	-4.128136	1.430193	0.9894705	0.86686516	0.020892143	-4.642172	-5.788908	-4.8717623	-5.055686
AT2G46270	-2.9430742	-3.1757464	-3.5326958	-2.5841079	0.11324406	0.01925373	0.048459053	0.040585518	-0.9363651	-1.2467728	-1.3598266	-1.4868517
AT1G65486	-2.6528873	-3.3079987	-3.103117	-2.1339655	0.9774494	0.8345213	1.3720713	2.1791563	-1.7495737	-2.0779781	-0.9111662	-0.6848564
AT1G60190	-1.7180166	-1.789978	-1.5127778	-1.0005741	2.06071	1.5957947	2.0371094	-0.38980484	-1.8759785	-2.506957	-0.92826605	-1.6778374
AT2G32120	-1.8789091	-1.6493378	-1.8131208	-1.9932342	0.63213634	0.8331194	0.39427853	0	-1.9606628	-1.9988699	-2.0216784	-1.9161024
AT1G17380	-2.3815813	-2.9743562	-3.898233	-3.108354	1.3961802	1.1231699	1.8807325	0.95419025	-2.182539	-1.6571574	-0.46576405	-0.84482956
AT4G25810	-2.5689487	-3.8029275	-3.1586876	-3.5954432	0.8568034	0.61132336	1.9502416	2.1167655	-2.244462	-1.6301751	0.16046906	-0.51301
AT3G16360	-2.0806766	-3.6492534	-2.9558802	-2.702056	0.2182231	0.12928534	0	0.003136158	-1.4721074	-1.5042973	-1.544693	-1.4138312
AT1G09950	-3.1589031	-2.1202826	-3.399128	-1.9648237	1.891573	1.3144999	2.5280762	2.2246122	-2.6271563	-2.183413	-0.70556736	0.24677229
AT3G25780	-2.0999231	-4.2637324	-4.0935936	-3.6881661	0.47998285	0.07391119	1.198421	1.2787938	-1.894455	-2.2290812	-1.2408652	0
AT4G33420	-2.9873772	-2.7702742	-2.3578901	-2.2417083	1.592617	1.1554699	1.4353895	1.7035799	-3.1002693	-2.1977596	-1.8160734	-1.660284
AT5G19470	0.19235182	-1.3010798	-2.521284	-0.9692192	-1.8003454	-1.0100698	-1.3624735	1.4715433	0.3383994	0	1.6035824	0.96245813
AT3G48520	-3.0908995	-4.4964476	-5.4132113	-3.4294767	0.9566765	0.7081671	2.2729893	1.9044838	-6.2453823	-5.624217	0.37075138	1.484869
AT5G19875	-2.4663086	-2.753078	-2.2938204	-1.9378104	0.016011238	0	0.24624062	0.94435406	-1.7218266	-2.1000752	-1.6537886	-1.4792008
AT4G33280	-4.092746	-3.5636892	-3.7029743	-3.4223866	0.044388294	0.068796635	0.009059429	0.30807066	-3.6072264	-5.2423677	-4.2738476	-3.6716862
