,heat,drought
AT1G70090,-3.51141977124616,-5.65325165703478
AT4G14130,0.0639457134919766,-2.20146205565059
AT1G02380,0.844970862442379,39.2598459191251
AT3G11402,2.37672734418841,-2.08141530447264
AT2G47440,0.338451800405974,8.87692410924554
AT4G02540,-5.28845583465505,51.6267924387181
AT1G72000,6.0753774571199,-6.95363008261716
AT4G25200,-0.0932076931900038,1.00947400702513
AT1G53540,-0.0230171396775424,1.01476136114732
AT4G10250,-0.0402052033683974,1.1046229057262
AT1G72660,-0.0313826354140811,1.02026833978505
AT5G13170,-0.110969280507187,0.924542090998843
AT1G73330,-0.0488878654734913,0.617277729495312
AT5G12020,-0.0686460370707341,1.10515904005508
AT5G12030,-0.0593838570862293,1.30379866374808
AT3G46230,-0.0831411937591412,1.15475973228496
AT4G08570,-0.15759620498913,1.06296628703078
AT5G51440,-0.0696461245661978,0.955144789694942
AT3G12580,-0.136798751048393,0.813349812036617
AT5G47600,-0.0353477141960247,1.08390516200748
AT5G25450,-0.08973026138703,0.930433640272666
AT5G45630,-0.804557001124152,0.725931948712146
AT3G09640,-0.0599254054996424,1.18946736927189
AT2G39310,-0.177918463180299,1.19102118374999
AT4G19430,-0.0634174658155972,1.15350785010581
AT1G59860,-0.0649165477886962,0.684536408138191
AT2G41240,-0.043277658713865,1.22837382093801
AT5G01740,-0.0760551277125813,0.522772922694103
AT1G07400,0.162375288840982,0.851862458106313
AT4G23493,-0.115430420199411,0.762051327486368
AT1G07900,-0.150030041748638,0.622249979758459
AT5G48570,-0.0567496182606784,0.905556621388565
AT1G52560,-0.137059447347836,1.24797281557743
AT1G22990,-0.736102662594711,0.613145234259752
AT2G26150,0.982442041036916,0.172572300156626
AT5G59310,-0.174435521789928,1.25323089519631
AT5G15500,-0.107900300642479,0.0971931695050569
AT5G52640,-0.0942834208490487,0.801063419486152
AT3G56980,-0.0647195280813765,1.43859726566769
AT1G73260,-0.0663364892764841,1.10531630871576
AT5G37550,-0.563252233759523,0.552275724106397
AT5G59220,0.0155172798401752,0.149731603257229
AT5G12110,-0.103644557511291,0.929246645037124
AT4G27670,0.0381746940533618,1.57810093360667
AT1G74310,0.137527104180808,0.559675199486855
AT1G14120,-0.0839187507728956,1.0490033729913
AT3G48830,-0.336887477838177,1.17751709311695
AT2G29500,-0.262175444813419,1.04715691983667
AT1G30220,-0.133782348143045,0.693042379526167
AT5G07330,-0.283535984210473,1.30503857162611
AT5G57785,-0.160084713748093,0.781811383190408
AT2G20560,-0.481263546680295,0.803428650641068
AT5G04370,-0.241550550699491,0.523322915564655
AT5G01380,-0.542966430506255,0.723226493323011
AT3G56970,-0.0840264770730795,1.36217683728628
AT4G08040,-0.786812214320025,0.118113920625489
AT1G28370,-0.800662453824197,0.134466885003997
AT5G40790,-0.294606205877115,-0.0251968560742022
AT3G21890,-0.0299803451762958,0.776839483008049
AT5G59720,-0.083340560090732,1.0577221911052
AT1G80840,-1.09765374269738,0.276711067097639
AT5G63450,-0.0987648802084189,0.641372859855249
AT3G28740,-0.204376179929942,1.2580190096088
AT2G46270,-0.0181063389630229,0.411079653696134
AT1G65486,-0.478943863791008,0.484335564973236
AT1G60190,-0.880834421337486,1.16071030790206
AT2G32120,-0.25352899794057,1.07672012846396
AT1G17380,-0.433105135605596,0.41660503969072
AT4G25810,-0.421692130744712,0.322045999213622
AT3G16360,-0.0307910711139195,0.521162507160472
AT1G09950,-0.747783383873255,0.49509502432995
AT3G25780,-0.214282069288429,0.379232516271421
AT4G33420,-0.568399566842542,0.84717337801392
AT5G19470,0.587347166140929,-0.631505531322302
AT3G48520,-0.355587597010064,0.609492241437756
AT5G19875,-0.127669420860446,0.735888096026572
AT4G33280,-0.0291111455664038,1.13620346177012
AT2G28500,-1.35632165226438,0.650997685818052
AT5G13930,-0.151516380572182,1.2202459016044
AT5G03210,0.471764816433565,0.197787838296543
AT1G57850,-0.443435254167537,0.39017877140683
AT3G09870,-0.833502231568437,-0.013145571751401
AT1G50400,-0.0905878896416778,0.875978477044384
AT1G02800,-0.208439469039321,1.1851356057707
AT1G15010,-0.657280679771527,0.43537801939975
AT3G62040,-0.0621389410157719,0.673504781028018
AT5G30500,-0.29971061800513,0.27140871068888
AT3G50800,-0.265605289375717,-0.627435677818061
