"Row.names","V1","heat","drought"
"AT1G01020",1,-0.52353166002574,0.777417364186697
"AT1G01030",1,-0.736737432981725,0.764776911291625
"AT1G01040",8,0.0211590576934261,0.449903314088204
"AT1G01050",1,-0.555564129422903,0.959175637009892
"AT1G01060",7,-1.30229721907725,-0.938509270708694
"AT1G01070",4,0.736453738989323,0.0262728296126869
"AT1G01080",1,-0.398103392600091,0.81794630010334
"AT1G01110",10,-1.17363309666517,1.06809071738733
"AT1G01120",6,-2.12966007109666,3.59405742136217
"AT1G01140",9,-1.46303204287782,1.13602200225027
"AT1G01150",8,-0.329739678268485,0.170234353015627
"AT1G01170",7,-0.845304500902808,-1.10095574784925
"AT1G01190",2,1.87211558426007,-0.980820484782584
"AT1G01200",1,0.21390878815575,0.607841948715114
"AT1G01220",1,-0.170842665872796,0.71328732874273
"AT1G01225",8,0.162068496217766,0.371296746719162
"AT1G01230",1,-0.517023617710212,0.614680625527667
"AT1G01250",2,1.96150223705565,-1.45042267149296
"AT1G01260",9,-1.53534131673947,-0.469615185245542
"AT1G01280",1,-0.69633429309559,0.77330616424219
"AT1G01290",1,-0.173399828117106,0.93238149637755
"AT1G01305",8,-0.080509452967107,0.146993894438001
"AT1G01310",8,-0.0163142427885244,0.111877927219779
"AT1G01340",6,-2.99843579653488,3.08399219208317
"AT1G01350",8,-0.110623600544649,0.355316987519681
"AT1G01355",4,0.494026797240617,-0.690347337822433
"AT1G01370",8,-0.0679432998289694,0.439836170372778
"AT1G01380",7,0.0801655638940276,-1.35876621327914
"AT1G01390",7,-2.00097383233486,-1.3540053373151
"AT1G01400",1,-0.655573701134786,0.807991799141936
"AT1G01410",8,-0.215484828477896,0.095432792116077
"AT1G01420",6,-2.66336224900983,2.4077677295738
"AT1G01430",8,-0.0883091924676833,0.319235881571198
"AT1G01453",8,-0.133906470017444,0.285818728000573
"AT1G01460",8,-0.0270081749095548,0.33895186885333
"AT1G01470",6,-1.31082098531531,3.28941819700761
"AT1G01471",8,-0.418034870295784,0.261417212775666
"AT1G01480",3,7.92566609476925,-6.59338356598215
"AT1G01510",10,-1.01980601787646,1.22012706894091
"AT1G01540",10,-0.499869285224071,2.31599013114344
"AT1G01560",8,-0.559637025806027,-0.054741070811147
"AT1G01570",1,-0.17476202961733,0.5973101010068
"AT1G01580",8,-0.581796986698924,-0.435836614816042
"AT1G01590",4,0.583983846900308,0.626850192990974
"AT1G01600",8,-0.339135056311753,0.313870146399155
"AT1G01610",5,1.50232956541901,2.40065638955236
"AT1G01650",2,1.6588632228967,-0.778915081006019
"AT1G01660",4,1.00942303461358,0.589144312135468
"AT1G01680",8,-0.454653892524425,0.294075733311381
"AT1G01695",5,2.00489859708308,2.30986359947278
"AT1G01700",9,-0.967719347260715,0.60533572118959
"AT1G01725",8,-0.128096592114585,0.3603382864794
"AT1G01730",4,0.95601897956982,-0.563407702161975
"AT1G01740",1,-0.0359508182182029,1.31738091626
"AT1G01750",8,-0.340770840705076,0.0099485718515724
"AT1G01760",6,-1.90872300402102,2.03731162401899
"AT1G01790",8,-0.457569498431668,0.398418522680983
"AT1G01800",4,1.04484457171614,-0.354254008717784
"AT1G01810",1,-0.15152671035927,0.68903270362264
"AT1G01820",9,-1.14395514906054,0.978702257024816
"AT1G01840",5,1.61658060858941,2.65051456517474
"AT1G01860",8,-0.242079684837112,-0.0984964206023302
"AT1G01900",1,-0.258301431798811,0.937507047151131
"AT1G01910",8,-0.12186400920865,0.196110008942509
"AT1G01920",1,-0.180326116925114,0.924344029055125
"AT1G01930",5,0.863746758821907,2.99210266499314
"AT1G01940",1,-0.751873751896489,0.627783485291183
"AT1G01970",1,-0.284228418069694,0.530589787743218
"AT1G01980",8,-0.276495017391259,0.330178957712376
"AT1G02000",4,1.48869101462016,0.96077227249439
"AT1G02060",1,-0.455874563870601,1.26214493838437
"AT1G02065",7,-1.03853656546911,-1.27423525885147
"AT1G02120",6,-2.3924757507481,1.65630292772595
"AT1G02130",8,-0.29323037522813,-0.144927057551798
"AT1G02140",1,-0.366544597718676,1.09684928569235
"AT1G02170",2,1.09655856562583,-1.48939748768469
"AT1G02180",8,-0.0405286297308625,0.219088337806249
"AT1G02190",8,0.120373974138466,0.0246869337775342
"AT1G02210",8,0.176634426006189,0.206546407616174
"AT1G02230",12,-3.68589985929869,-3.57379788957844
"AT1G02260",10,-1.45334007442591,2.07043201184643
"AT1G02270",4,0.550022001096933,0.472271802223015
"AT1G02300",1,-0.0713672634584028,1.12424869266675
"AT1G02335",1,-0.308392805135434,0.866072462639094
"AT1G02340",1,-0.755027392177132,0.923821774865971
"AT1G02360",1,-0.512102803377824,1.23327344203736
"AT1G02370",10,-0.732249630893099,1.31888545273907
"AT1G02380",5,0.767400778460207,4.36351160232916
"AT1G02390",8,-0.58457415139921,-0.0862921343473151
"AT1G02391",8,-0.46646695254333,0.186015239004373
"AT1G02400",9,-0.819886787809933,0.685315019741369
"AT1G02405",5,1.02419649481257,1.66346094058321
"AT1G02420",7,-0.649013525987138,-2.21840539985872
"AT1G02430",1,-0.322294607443713,0.797966046850198
"AT1G02440",11,-5.57904853404739,5.64655479006121
"AT1G02450",2,0.477485010352088,-2.02093483912551
"AT1G02460",8,-0.16046399740133,0.486331809119268
"AT1G02470",1,-0.172843584376446,1.03766334653554
"AT1G02475",10,-0.793818172354468,1.2294894755227
"AT1G02510",8,-0.420290722038565,0.203513341606517
"AT1G02520",4,0.368239252591655,0.0195006501352365
"AT1G02530",8,-0.0714675965785113,0.115119974673164
